    NAME      ATTACK DEFENSE RANGE COOLDOWN SPEED                   IMAGE                          RECT_X RECT_Y OFFSET_X OFFSET_Y NB_ANIM                     ICON
BASE_ATTACK    10      0        0     1.0      0      assets/combat/attacks/player_slash_attack.png   110    129  -30       30        3    assets/combat/attacks/fire_attack_icon.png
FIRE_SPELL      5      0      400     2.0      8      assets/combat/attacks/player_fire_attack.png    70     30     0       60        5    assets/combat/attacks/fire_attack_icon.png
    NAME      LEVEL  ATTACK  DEFENSE   HP   MAX_HP SPEED   EXP  MAX_EXP  GOLD
DEFAULT         1      500        1      75     75     4     0     30       0
leo          2     9     7     74     87     4     18     60     0     
emerak          1     5     1     75     75     4     0     30     0     
kevin          1     7     4     36     80     4     18     30     0     
ouioui          1     7     4     80     80     4     0     30     0     
jerome          1     5     1     75     75     4     0     30     0     
abc          1     7     4     50     80     4     16     30     9     
bastien          1     7     4     50     80     4     17     30     0     
singe          1     7     1     75     75     4     0     30     0     
nick          1     501     3     74     81     2     56     60     0     
kari          1     500     1     75     75     0     18     30     0     
